id;original;translated
0;\v0103ぁ\x0000\x0000 suddenly became angry!;¡{Pokemon} se enfadó de repente!
1;\v0103ぁ\x0000\x0000 seems angry for some\nreason!;¡{Pokemon} parece enfadado por alguna razón!
2;......\nYour Pokémon won’t look you in the eye.;...... Tu Pokémon no te mirará a los ojos.
3;......\nYour Pokémon won’t come even though\x25BDyou’re calling.;...... Tu Pokémon no vendrá aunque lo{DownArrow} estés llamando.
4;\v0103ぁ\x0000\x0000 is suddenly angry!;¡{Pokemon} se enfada de repente!
5;...Your Pokémon is so very angry!;... ¡Tu Pokémon está muy enfadado!
6;\v0103ぁ\x0000\x0000 is somehow fighting off\nsleep...;{Pokemon} de alguna manera está luchando contra el sueño...
7;\v0103ぁ\x0000\x0000’s head is nodding as it\nstarts to fall asleep...;La cabeza de {Pokemon} asiente mientras comienza a quedarse dormido...
8;\v0103ぁ\x0000\x0000 has a sleepy look on\nits face...;{Pokemon} tiene cara de sueño...
11;\v0103ぁ\x0000\x0000 seems very hot...;{Pokémon} parece que tiene mucho calor...
12;\v0103ぁ\x0000\x0000’s burn looks painful!;¡La quemadura de {Pokemon} parece dolorosa!
13;\v0103ぁ\x0000\x0000’s burn looks painful!;¡La quemadura de {Pokemon} parece dolorosa!
14;\v0103ぁ\x0000\x0000 is a little scared.;{Pokemon} está un poco asustado.
15;\v0103ぁ\x0000\x0000 is walking along\ncautiously!;¡{Pokemon} camina con cautela!
16;\v0103ぁ\x0000\x0000 is standing guard!;¡{Pokemon} está haciendo guardia!
17;\v0103ぁ\x0000\x0000 yawned loudly.;{Pokemon} bostezó ruidosamente.
18;\v0103ぁ\x0000\x0000 spun around in a circle!;¡{Pokemon} giró en círculos!
19;\v0103ぁ\x0000\x0000 is so happy, it started\ndancing!;¡{Pokemon} está tan feliz que empezó a bailar!
20;Your Pokémon is dancing with you!;¡Tu Pokémon está bailando contigo!
21;\v0103ぁ\x0000\x0000 started spinning around in\ncircles.;{Pokemon} comenzó a dar vueltas en círculos.
22;\v0103ぁ\x0000\x0000 is facing you with a\nblank expression.;{Pokemon} te mira con una expresión vacía.
23;\v0103ぁ\x0000\x0000 is staring straight into\n\v0103ぁ\x0001\x0000’s eyes.;{Pokemon} está mirando directamente a los ojos de {You}.
24;\v0103ぁ\x0000\x0000 is twitching its ears,\nlistening to the sound of the wind.;{Pokemon} está moviendo las orejas, escuchando el sonido del viento.
25;\v0103ぁ\x0000\x0000 is sensing something...;{Pokemon} está sintiendo algo...
26;\v0103ぁ\x0000\x0000 seems a little shy.;{Pokemon} parece un poco tímido.
27;\v0103ぁ\x0000\x0000 is cautiously listening\nto the surrounding sounds!;¡{Pokemon} está escuchando con cautela los sonidos que lo rodean!
28;\v0103ぁ\x0000\x0000 is wandering around and\nlistening to the different sounds.;{Pokemon} deambula y escucha los diferentes sonidos.
29;\v0103ぁ\x0000\x0000 is sniffing at the air.;{Pokemon} está olfateando el aire.
30;\v0103ぁ\x0000\x0000 was not paying attention\nand ran headfirst into you!;¡{Pokemon} no estaba prestando atención y se estrelló contra ti!
31;\v0103ぁ\x0000\x0000 suddenly roared!;¡{Pokemon} rugió de repente!
32;\v0103ぁ\x0000\x0000 was surprised by a sudden\nsound!;¡{Pokemon} fue sorprendido por un sonido repentino!
33;\v0103ぁ\x0000\x0000 sensed something strange\nand was surprised!;¡{Pokemon} sintió algo extraño y se sorprendió!
34;\v0103ぁ\x0000\x0000 is vigorously producing\nfire!;¡{Pokemon} está produciendo fuego vigorosamente!
35;\v0103ぁ\x0000\x0000 emitted fire and shouted!;¡{Pokemon} emitió fuego y gritó!
36;\v0103ぁ\x0000\x0000 is vigorously breathing\nfire!;¡{Pokemon} está lanzando fuego vigorosamente!
37;Your Pokémon is smelling the scent of\nthe flowers.;Tu Pokémon está oliendo el aroma de las flores.
38;Your Pokémon has a flower petal on\nits face!;¡Tu Pokémon tiene un pétalo de flor en la cara!
39;\v0103ぁ\x0000\x0000 is wandering around and\nenjoying the forest scenery.;{Pokemon} está deambulando y disfrutando del paisaje del bosque.
40;\v0103ぁ\x0000\x0000 is staring at the sunlight\ncoming through the trees.;{Pokemon} está mirando la luz del sol que entra a través de los árboles.
41;\v0103ぁ\x0000\x0000 is looking around\nrestlessly at the forest.;{Pokemon} mira inquieto el bosque.
42;\v0103ぁ\x0000\x0000 is standing guard!;¡{Pokemon} está haciendo guardia!
43;...Your Pokémon appears to be somewhat\nhardened and unable to move.;...Tu Pokémon parece estar algo endurecido y no puede moverse.
44;......\nYour Pokémon seems a little cold.;...... Tu Pokémon parece que tiene un poco de frío.
45;\v0103ぁ\x0000\x0000 is shivering with cold...;{Pokemon} está temblando de frío...
46;\v0103ぁ\x0000\x0000 seems very happy to be\nso close!;¡{Pokemon} parece muy feliz de estar tan cerca!
47;\v0103ぁ\x0000\x0000 is very happy!;¡{Pokémon} está muy feliz!
48;\v0103ぁ\x0000\x0000 is happily cuddling up to\nyou!;¡{Pokemon} está feliz mientras te abraza!
49;\v0103ぁ\x0000\x0000 looks very happy!;¡{Pokémon} se ve muy feliz!
50;\v0103ぁ\x0000\x0000 seems to be very happy!;¡{Pokemon} parece estar muy feliz!
51;\v0103ぁ\x0000\x0000 beamed happily at you!;¡{Pokemon} te sonrió alegremente!
52;\v0103ぁ\x0000\x0000 seems to be very happy\nfor some reason!;¡{Pokemon} parece estar muy feliz por alguna razón!
53;\v0103ぁ\x0000\x0000 is really happy!;¡{Pokemon} está muy feliz!
54;\v0103ぁ\x0000\x0000 just looks so very happy!;¡{Pokemon} se ve muy feliz!
55;\v0103ぁ\x0000\x0000 jumped a little!;¡{Pokemon} saltó un poco!
56;\v0103ぁ\x0000\x0000 seems to want to play with\n\v0103ぁ\x0001\x0000!;¡{Pokemon} parece querer jugar contigo!
57;\v0103ぁ\x0000\x0000 is jumping for joy!;¡{Pokemon} salta de alegría!
58;\v0103ぁ\x0000\x0000 seems incredibly happy!;¡{Pokemon} parece increíblemente feliz!
59;Whoa! \v0103ぁ\x0000\x0000 is suddenly playful!;¡Guau! ¡{Pokemon} se ha puesto juguetón!
60;\v0103ぁ\x0000\x0000 is regarding you with\nadoration!;¡{Pokemon} te mira con adoración!
61;Whoa! \v0103ぁ\x0000\x0000 suddenly hugged\nyou!;¡Guau! ¡{Pokemon} te abrazó de golpe!
62;\v0103ぁ\x0000\x0000 seems to be really\nenjoying the heat!;¡{Pokemon} parece estar disfrutando mucho del calor!
63;\v0103ぁ\x0000\x0000 seems to be unhappy that\nit’s so hot...;{Pokemon} parece estar triste porque hace mucho calor...
64;\v0103ぁ\x0000\x0000’s head is bowed\nbecause of the heat.;La cabeza de {Pokemon} está inclinada por el calor.
65;\v0103ぁ\x0000\x0000 seems very hot...;{Pokémon} parece muy caluroso...
66;\v0103ぁ\x0000\x0000 is wobbling and seems\nabout to fall over.;{Pokemon} se tambalea y parece a punto de caerse.
67;\v0103ぁ\x0000\x0000 slipped and seems about\nto fall over!;¡{Pokemon} resbaló y parece a punto de caerse!
68;Your Pokémon seems surprised to\ntouch ice!;¡Tu Pokémon parece sorprendido de tocar hielo!
69;\v0103ぁ\x0000\x0000 seems to really enjoy\nsliding around!;¡{Pokemon} parece disfrutar mucho deslizándose!
70;\v0103ぁ\x0000\x0000 looks like it wants to\nlead!;¡Parece que {Pokemon} quiere liderar!
71;\v0103ぁ\x0000\x0000 suddenly started walking\ncloser!;¡{Pokemon} de repente comenzó a caminar más cerca!
72;\v0103ぁ\x0000\x0000 is jumping around!;¡{Pokemon} está saltando!
73;\v0103ぁ\x0000\x0000 is looking around\nrestlessly at the lake!;¡{Pokemon} está mirando inquieto al lago!
74;\v0103ぁ\x0000\x0000 is tangled in the long\ngrass!;¡{Pokemon} está enredado en la hierba alta!
75;\v0103ぁ\x0000\x0000 is having fun getting\ntangled in the long grass!;¡{Pokemon} se divierte enredándose en la hierba alta!
76;\v0103ぁ\x0000\x0000 is paying close attention\nto its surroundings!;¡{Pokemon} está prestando mucha atención a su entorno!
77;\v0103ぁ\x0000\x0000 is carefully scanning the\narea!;¡{Pokemon} está escaneando cuidadosamente el área!
78;\v0103ぁ\x0000\x0000 is surveying the area!;¡{Pokemon} está inspeccionando el área!
79;\v0103ぁ\x0000\x0000 is looking around\nrestlessly.;{Pokemon} mira alrededor inquieto.
80;......\nYour Pokémon seems to be\x25BDsmelling something good.;...... Tu Pokémon parece estar{DownArrow}oliendo algo bueno.
81;\v0103ぁ\x0000\x0000 looks like it’s about to\nfall over!;¡Parece que {Pokemon} está a punto de caerse!
82;Careful!\nYour Pokémon seems about to fall...;¡Cuidado! Tu Pokémon parece que está a punto de caerse...
83;\v0103ぁ\x0000\x0000 is staring intently at the\nmachine.;{Pokemon} está mirando fijamente a la máquina.
84;\v0103ぁ\x0000\x0000 is listening to the sound\nof the machine.;{Pokemon} está escuchando el sonido de la máquina.
85;\v0103ぁ\x0000\x0000 seems to want to touch\nthe machine!;¡{Pokemon} parece querer tocar la máquina!
